Profit,HitRate,Games,targetPos,startOffsetDays,referOffsetDays,excludingDays,excludingOffsetDays,isReverse
57850,42.63959390862944,394,6,3,10,50,8,False
57800,61.92893401015228,394,4,6,30,30,10,False
57750,51.01522842639594,394,6,3,10,40,10,False
57350,51.01522842639594,394,6,3,10,40,9,False
55950,42.38578680203046,394,6,3,10,50,9,False
54500,24.873096446700508,394,0,4,50,10,5,True
54350,50.76142131979695,394,6,3,10,40,8,False
53950,42.13197969543147,394,6,3,10,50,7,False
52650,60.913705583756354,394,6,3,10,30,9,False
51950,39.59390862944163,394,0,4,50,20,5,True
51900,39.59390862944163,394,0,4,50,20,3,True
51350,39.59390862944163,394,0,4,50,20,2,True
50800,50.25380710659898,394,6,3,20,40,8,False
50800,74.36548223350253,394,4,6,50,20,10,False
50100,50.25380710659898,394,6,3,10,40,7,False
49500,50.25380710659898,394,2,9,10,40,6,False
49350,41.62436548223351,394,6,3,10,50,6,False
48950,50.0,394,6,3,20,40,7,False
48900,60.913705583756354,394,4,6,20,30,10,False
48450,60.913705583756354,394,4,6,30,30,9,False
48450,74.11167512690355,394,4,6,40,20,10,False
48050,24.61928934010152,394,2,6,20,10,10,True
47800,39.08629441624365,394,3,9,20,20,0,True
46950,41.370558375634516,394,6,3,10,50,10,False
46350,49.746192893401016,394,6,3,20,40,9,False
45600,38.83248730964467,394,3,9,20,20,1,True
45300,49.746192893401016,394,6,3,20,40,5,False
44800,49.49238578680203,394,6,3,20,40,10,False
44600,73.60406091370558,394,4,6,30,20,10,False
44550,60.659898477157356,394,4,6,30,30,8,False
44350,41.11675126903553,394,6,3,10,50,5,False
44350,41.11675126903553,394,6,3,20,50,0,False
44350,38.83248730964467,394,0,4,50,20,4,True
44300,23.85786802030457,394,0,4,50,10,6,True
44100,41.11675126903553,394,6,8,30,50,0,False
44050,49.49238578680203,394,6,3,20,40,6,False
43900,40.86294416243655,394,6,6,20,20,10,True
43800,24.61928934010152,394,6,9,50,10,9,True
43700,49.746192893401016,394,2,9,10,40,7,False
43300,59.89847715736041,394,6,3,10,30,10,False
43200,49.49238578680203,394,6,3,10,40,6,False
43050,59.89847715736041,394,6,1,50,30,2,False
42850,60.40609137055838,394,4,6,10,30,10,False
42750,59.89847715736041,394,6,3,10,30,8,False
42700,59.89847715736041,394,6,1,20,30,4,False
42650,59.89847715736041,394,6,1,30,30,3,False
42600,60.40609137055838,394,4,6,40,30,10,False
42250,59.89847715736041,394,6,10,50,30,6,False
42100,41.11675126903553,394,6,3,10,50,0,False
41950,49.49238578680203,394,6,3,20,40,1,False
41950,60.40609137055838,394,4,6,50,30,10,False
41900,49.49238578680203,394,6,3,20,40,0,False
41750,23.85786802030457,394,5,1,10,10,0,True
41750,52.28426395939086,394,5,2,10,30,9,True
41700,60.40609137055838,394,4,6,30,30,7,False
41350,23.85786802030457,394,2,6,20,10,9,True
41300,38.578680203045685,394,0,4,50,20,6,True
41050,59.64467005076142,394,6,1,30,30,4,False
40900,49.49238578680203,394,6,3,10,40,1,False
40800,59.64467005076142,394,6,3,20,30,7,False
40750,23.85786802030457,394,2,6,20,10,8,True
40350,23.85786802030457,394,5,2,50,10,9,True
40300,59.64467005076142,394,6,3,10,30,7,False
40200,40.86294416243655,394,2,1,40,50,3,False
40200,40.35532994923858,394,6,5,10,20,8,True
40150,23.85786802030457,394,5,2,40,10,9,True
40100,49.23857868020304,394,6,3,20,40,2,False
40100,23.85786802030457,394,2,6,10,10,10,True
40000,49.23857868020304,394,2,9,20,40,6,False
40000,23.604060913705585,394,5,10,40,10,3,True
39900,59.64467005076142,394,6,1,30,30,2,False
39850,59.89847715736041,394,4,6,20,30,9,False
39550,51.26903553299492,394,1,5,50,40,0,False
39300,59.390862944162436,394,6,1,50,30,3,False
39150,60.15228426395939,394,4,6,50,30,2,False
39050,89.08629441624365,394,5,3,20,10,6,False
39050,59.390862944162436,394,6,3,20,30,9,False
39050,73.3502538071066,394,4,6,50,20,8,False
39050,38.07106598984771,394,3,9,30,20,0,True
38950,40.609137055837564,394,6,3,10,50,4,False
38800,23.096446700507613,394,0,3,40,10,9,True
38750,38.07106598984771,394,3,9,20,20,2,True
38600,73.09644670050761,394,4,6,50,20,9,False
38550,59.390862944162436,394,6,1,40,30,2,False
38550,23.096446700507613,394,0,4,50,10,4,True
38550,49.23857868020304,394,2,9,20,40,7,False
38500,59.390862944162436,394,6,1,20,30,7,False
38450,38.07106598984771,394,0,4,50,20,1,True
38450,40.10152284263959,394,6,5,10,20,7,True
38450,23.604060913705585,394,2,6,10,10,8,True
38350,89.08629441624365,394,5,3,20,10,5,False
38350,59.89847715736041,394,4,6,10,30,9,False
38250,73.09644670050761,394,5,3,10,20,2,False
38250,40.609137055837564,394,2,9,20,50,2,False
38200,40.609137055837564,394,6,3,10,50,3,False
38150,39.59390862944163,394,2,4,30,20,7,True
38100,49.49238578680203,394,2,1,40,40,1,False
38050,42.38578680203046,394,0,8,30,50,9,False
38000,49.746192893401016,394,4,6,30,40,10,False
37950,59.390862944162436,394,6,1,20,30,5,False
37950,39.59390862944163,394,2,4,30,20,6,True
37850,23.3502538071066,394,5,10,40,10,2,True
37800,59.390862944162436,394,6,3,20,30,5,False
37600,23.3502538071066,394,5,10,30,10,3,True
37550,38.07106598984771,394,3,5,50,20,10,True
37400,38.07106598984771,394,3,5,40,20,10,True
37250,23.3502538071066,394,5,2,10,10,10,True
37200,39.340101522842644,394,2,4,30,20,4,True
37150,23.3502538071066,394,5,2,10,10,9,True
37150,60.913705583756354,394,1,5,50,30,0,False
37050,38.07106598984771,394,0,9,40,20,3,True
36900,39.59390862944163,394,2,4,30,20,9,True
36900,23.85786802030457,394,6,5,10,10,9,True
36850,51.776649746192895,394,5,2,10,30,10,True
36800,48.984771573604064,394,2,9,10,40,3,False
36750,48.984771573604064,394,2,9,10,40,2,False
36700,22.84263959390863,394,0,6,50,10,0,True
36600,22.84263959390863,394,0,3,30,10,9,True
36500,48.984771573604064,394,2,2,20,40,10,False
36500,73.09644670050761,394,5,3,20,20,0,False
36450,23.3502538071066,394,2,6,10,10,9,True
36450,22.84263959390863,394,3,9,20,10,7,True
36400,73.09644670050761,394,1,5,50,20,4,False
36350,49.49238578680203,394,4,1,40,40,1,False
36350,38.07106598984771,394,0,9,40,20,5,True
36250,22.84263959390863,394,0,3,40,10,10,True
36200,23.85786802030457,394,6,9,40,10,9,True
36150,22.84263959390863,394,0,4,50,10,3,True
36100,48.984771573604064,394,6,3,10,40,0,False
36100,39.340101522842644,394,4,4,10,20,0,True
36050,39.847715736040605,394,6,5,10,20,6,True
36050,43.14720812182741,394,3,9,50,50,8,False
36000,37.81725888324873,394,0,4,50,20,0,True
36000,49.49238578680203,394,4,6,30,40,4,False
35950,48.73096446700508,394,6,3,20,40,3,False
35950,48.73096446700508,394,6,3,20,40,4,False
35900,22.84263959390863,394,3,9,20,10,8,True
35850,59.89847715736041,394,4,6,50,30,8,False
35800,22.84263959390863,394,0,4,40,10,6,True
35800,42.13197969543147,394,0,8,30,50,10,False
35750,23.3502538071066,394,2,2,40,10,3,True
35650,49.49238578680203,394,4,1,40,40,0,False
35550,39.08629441624365,394,5,4,40,20,3,True
35500,72.84263959390863,394,5,3,10,20,3,False
35450,72.58883248730965,394,4,6,30,20,9,False
35400,61.92893401015228,394,3,7,50,30,10,False
35400,40.10152284263959,394,6,8,30,50,1,False
35300,72.84263959390863,394,5,3,20,20,3,False
35300,41.11675126903553,394,4,4,40,50,4,False
35150,48.73096446700508,394,6,3,10,40,5,False
35050,48.984771573604064,394,2,1,40,40,2,False
35050,52.53807106598985,394,6,6,10,30,1,True
35050,74.11167512690355,394,0,7,10,20,4,False
35000,51.01522842639594,394,1,5,20,40,0,False
34850,41.11675126903553,394,4,4,40,50,5,False
34800,72.84263959390863,394,1,5,50,20,5,False
34800,61.92893401015228,394,3,7,50,30,9,False
34750,48.73096446700508,394,6,1,20,40,0,False
34750,59.64467005076142,394,4,6,50,30,9,False
34750,48.984771573604064,394,6,10,50,40,0,False
34650,59.64467005076142,394,4,6,40,30,2,False
34550,58.88324873096447,394,6,3,20,30,10,False
34500,41.11675126903553,394,4,4,40,50,6,False
34400,58.88324873096447,394,6,1,20,30,9,False
34400,72.84263959390863,394,4,6,40,20,8,False
34350,23.096446700507613,394,5,1,20,10,0,True
34350,41.11675126903553,394,4,4,50,50,6,False
34350,41.11675126903553,394,4,6,30,50,10,False
34350,23.096446700507613,394,4,8,40,10,3,True
34300,58.88324873096447,394,6,1,30,30,9,False
34300,49.23857868020304,394,4,5,30,40,8,False
34300,72.58883248730965,394,4,6,40,20,9,False
34250,39.59390862944163,394,6,5,10,20,2,True
34200,22.588832487309645,394,0,4,40,10,5,True
34150,40.10152284263959,394,2,2,10,50,10,False
34150,23.096446700507613,394,5,2,20,10,10,True
34150,60.15228426395939,394,5,3,20,30,0,False
34100,48.73096446700508,394,6,3,10,40,2,False
34100,39.340101522842644,394,2,4,10,20,9,True
34100,41.878172588832484,394,0,8,40,50,9,False
34050,37.56345177664975,394,3,9,20,20,3,True
34000,42.63959390862944,394,3,1,20,50,8,False
34000,22.588832487309645,394,0,3,30,10,8,True
33950,39.847715736040605,394,6,3,20,50,4,False
33800,88.57868020304569,394,5,3,20,10,4,False
33800,59.64467005076142,394,4,6,40,30,8,False
33750,72.58883248730965,394,5,3,20,20,2,False
33750,22.588832487309645,394,0,4,50,10,8,True
33750,37.81725888324873,394,0,9,40,20,4,True
33700,40.10152284263959,394,2,1,40,50,4,False
33700,58.88324873096447,394,6,3,20,30,6,False
33650,50.25380710659898,394,3,9,20,30,0,True
33600,40.35532994923858,394,2,1,50,50,3,False
33600,23.096446700507613,394,5,2,20,10,9,True
33600,49.23857868020304,394,4,6,30,40,9,False
33600,40.10152284263959,394,6,8,10,50,0,False
33550,40.10152284263959,394,2,2,30,50,10,False
33550,59.89847715736041,394,5,3,20,30,2,False
33550,22.588832487309645,394,0,3,40,10,8,True
33500,40.86294416243655,394,4,4,50,50,2,False
33500,23.096446700507613,394,2,6,10,10,7,True
33450,58.88324873096447,394,6,1,30,30,5,False
33450,48.984771573604064,394,2,6,50,40,0,False
33400,58.88324873096447,394,6,3,10,30,6,False
33400,40.10152284263959,394,6,10,10,50,0,False
33350,58.88324873096447,394,6,1,50,30,1,False
33350,50.50761421319797,394,1,5,50,40,1,False
33350,23.096446700507613,394,2,6,20,10,7,True
33250,40.10152284263959,394,2,2,20,50,10,False
33250,39.847715736040605,394,6,8,20,50,0,False
33200,23.096446700507613,394,2,2,20,10,1,True
33200,58.88324873096447,394,6,2,30,30,3,False
33200,72.58883248730965,394,4,6,30,20,8,False
33150,23.096446700507613,394,2,5,30,10,6,True
33150,22.84263959390863,394,5,10,40,10,5,True
33050,40.10152284263959,394,6,3,10,50,1,False
33050,59.89847715736041,394,5,3,20,30,1,False
33050,40.86294416243655,394,4,4,50,50,4,False
33050,40.10152284263959,394,2,9,20,50,1,False
33000,48.73096446700508,394,2,1,40,40,3,False
33000,39.59390862944163,394,6,6,20,20,9,True
33000,48.47715736040609,394,2,9,10,40,5,False
32950,60.40609137055838,394,1,5,50,30,6,False
32900,40.10152284263959,394,2,1,40,50,2,False
32850,48.47715736040609,394,2,2,20,40,9,False
32800,61.42131979695431,394,3,7,30,30,9,False
32800,48.73096446700508,394,2,9,10,40,1,False
32750,23.096446700507613,394,2,2,20,10,3,True
32750,60.659898477157356,394,1,5,20,30,10,False
32700,48.984771573604064,394,4,5,20,40,6,False
32700,48.73096446700508,394,2,9,40,40,6,False
32650,39.59390862944163,394,6,3,20,50,7,False
32550,58.88324873096447,394,6,1,20,30,3,False
32500,39.08629441624365,394,2,4,30,20,8,True
32500,48.984771573604064,394,2,7,50,40,3,False
32450,39.59390862944163,394,6,6,10,20,10,True
32450,22.84263959390863,394,4,8,10,10,3,True
32350,22.33502538071066,394,0,3,50,10,9,True
32350,60.659898477157356,394,1,6,10,30,4,False
32350,59.390862944162436,394,4,6,30,30,4,False
32300,40.10152284263959,394,2,1,40,50,1,False
32300,22.84263959390863,394,2,2,50,10,2,True
32300,40.86294416243655,394,4,4,50,50,5,False
32250,58.629441624365484,394,6,1,20,30,8,False
32250,58.88324873096447,394,6,3,20,30,2,False
32250,58.629441624365484,394,6,3,20,30,8,False
32200,39.847715736040605,394,2,1,30,50,3,False
32200,59.13705583756346,394,4,6,20,30,8,False
32200,22.84263959390863,394,4,8,30,10,3,True
32150,58.629441624365484,394,6,1,40,30,3,False
32150,38.83248730964467,394,2,4,40,20,7,True
32150,37.309644670050766,394,3,9,30,20,1,True
32100,41.878172588832484,394,0,8,10,50,10,False
32100,48.73096446700508,394,2,9,40,40,7,False
32050,48.73096446700508,394,2,1,30,40,1,False
32000,22.33502538071066,394,0,3,20,10,9,True
32000,39.59390862944163,394,6,3,20,50,5,False
32000,22.33502538071066,394,0,3,50,10,10,True
31950,58.629441624365484,394,6,1,50,30,4,False
31950,23.3502538071066,394,6,5,10,10,10,True
31950,48.47715736040609,394,6,8,10,40,0,False
31950,22.33502538071066,394,3,9,20,10,6,True
31950,23.3502538071066,394,6,9,50,10,8,True
31950,42.63959390862944,394,3,9,50,50,7,False
31900,38.83248730964467,394,2,4,30,20,3,True
31850,41.878172588832484,394,0,8,10,50,9,False
31800,22.84263959390863,394,4,8,40,10,2,True
31800,39.847715736040605,394,2,9,10,50,2,False
31750,39.59390862944163,394,6,3,20,50,8,False
31750,59.390862944162436,394,4,6,50,30,4,False
31750,73.85786802030458,394,0,7,10,20,5,False
31700,71.8274111675127,394,6,1,10,20,2,False
31700,58.629441624365484,394,6,1,40,30,1,False
31650,22.84263959390863,394,2,2,50,10,3,True
31650,60.40609137055838,394,1,5,50,30,1,False
31650,38.578680203045685,394,1,10,20,20,9,True
31550,58.629441624365484,394,6,1,20,30,6,False
31550,48.47715736040609,394,2,1,30,40,2,False
31550,39.59390862944163,394,6,3,20,50,3,False
31550,60.40609137055838,394,1,5,50,30,10,False
31550,39.59390862944163,394,6,8,30,50,2,False
31500,22.84263959390863,394,2,5,40,10,6,True
31450,37.56345177664975,394,3,5,30,20,10,True
31450,40.86294416243655,394,4,10,50,50,9,False
31400,22.84263959390863,394,5,2,50,10,10,True
31400,39.08629441624365,394,2,4,20,20,9,True
31350,48.73096446700508,394,2,1,40,40,0,False
31350,39.847715736040605,394,2,1,40,50,0,False
31350,48.984771573604064,394,4,6,30,40,2,False
31300,48.984771573604064,394,4,1,40,40,2,False
31300,22.84263959390863,394,5,2,40,10,10,True
31300,50.50761421319797,394,1,5,20,40,1,False
31250,22.84263959390863,394,4,4,10,10,10,True
31200,48.47715736040609,394,2,2,30,40,10,False
31200,42.63959390862944,394,3,9,40,50,8,False
31150,59.64467005076142,394,5,3,20,30,3,False
31150,48.73096446700508,394,4,5,20,40,5,False
31150,40.86294416243655,394,4,10,50,50,10,False
31100,22.84263959390863,394,2,2,30,10,2,True
31050,39.847715736040605,394,6,3,10,50,2,False
31050,22.33502538071066,394,3,9,20,10,1,True
31000,38.83248730964467,394,2,4,20,20,6,True
30950,60.40609137055838,394,1,6,30,30,3,False
30950,39.847715736040605,394,2,9,10,50,1,False
30900,48.984771573604064,394,4,10,50,40,10,False
30850,38.578680203045685,394,2,4,40,20,4,True
30850,39.340101522842644,394,6,5,10,20,9,True
30850,22.588832487309645,394,5,10,50,10,2,True
30800,59.13705583756346,394,4,6,10,30,8,False
30800,22.588832487309645,394,5,10,40,10,4,True
30750,58.629441624365484,394,6,10,50,30,7,False
30700,58.629441624365484,394,6,1,30,30,1,False
30700,58.629441624365484,394,6,1,40,30,5,False
30700,60.40609137055838,394,1,5,20,30,9,False
30650,22.84263959390863,394,2,2,20,10,0,True
30650,22.84263959390863,394,2,2,30,10,0,True
30650,22.33502538071066,394,0,4,50,10,7,True
30600,38.3248730964467,394,5,4,50,20,5,True
30600,48.984771573604064,394,4,4,50,40,9,False
30600,22.33502538071066,394,3,9,20,10,10,True
30550,39.59390862944163,394,6,3,20,50,1,False
30550,40.609137055837564,394,4,4,40,50,2,False
30550,50.25380710659898,394,0,4,50,30,0,True
30500,72.33502538071066,394,5,3,20,20,5,False
30500,59.13705583756346,394,4,6,40,30,9,False
30500,22.588832487309645,394,5,10,50,10,3,True
30450,22.84263959390863,394,2,5,20,10,6,True
30400,60.15228426395939,394,1,6,40,30,3,False
30400,70.30456852791879,394,5,8,50,50,7,True
30350,59.64467005076142,394,5,3,30,30,5,False
30300,38.578680203045685,394,5,4,40,20,2,True
30200,71.57360406091371,394,6,1,20,20,3,False
30200,72.33502538071066,394,1,5,50,20,6,False
30200,22.84263959390863,394,1,10,20,10,10,True
30150,22.84263959390863,394,2,2,30,10,3,True
30150,58.629441624365484,394,6,3,20,30,3,False
30150,39.340101522842644,394,6,5,10,20,10,True
30150,59.13705583756346,394,4,6,30,30,2,False
30100,39.59390862944163,394,2,1,20,50,3,False
30100,22.588832487309645,394,5,10,20,10,3,True
30050,60.15228426395939,394,1,5,50,30,5,False
30050,42.38578680203046,394,3,9,50,50,6,False
30000,60.40609137055838,394,1,6,30,30,1,False
30000,88.57868020304569,394,0,7,20,10,5,False
30000,22.081218274111674,394,3,9,20,10,5,True
29950,73.60406091370558,394,0,1,20,20,6,False
29950,39.340101522842644,394,6,3,20,50,6,False
29950,38.83248730964467,394,2,4,10,20,8,True
29950,70.30456852791879,394,5,8,50,50,5,True
29950,59.390862944162436,394,2,9,30,30,2,False
29900,38.3248730964467,394,5,4,40,20,5,True
29900,59.13705583756346,394,4,6,50,30,1,False
29900,37.309644670050766,394,3,9,10,20,0,True
29900,22.588832487309645,394,5,10,40,10,6,True
29850,40.609137055837564,394,4,4,40,50,7,False
29850,39.08629441624365,394,6,5,10,20,5,True
29850,60.15228426395939,394,1,5,50,30,9,False
29800,73.60406091370558,394,0,1,20,20,7,False
29800,38.578680203045685,394,2,6,20,20,1,True
29800,41.62436548223351,394,0,8,20,50,9,False
29750,58.37563451776649,394,6,1,40,30,4,False
29750,38.3248730964467,394,5,4,40,20,6,True
29750,37.309644670050766,394,0,9,30,20,5,True
29700,60.913705583756354,394,3,7,30,30,5,False
29650,22.081218274111674,394,0,3,20,10,8,True
29600,58.629441624365484,394,6,3,20,30,0,False
29600,59.390862944162436,394,2,3,50,30,9,False
29600,48.223350253807105,394,6,8,10,40,1,False
29600,48.223350253807105,394,6,10,10,40,0,False
29550,22.081218274111674,394,0,3,30,10,10,True
29550,40.609137055837564,394,4,4,50,50,7,False
29550,59.13705583756346,394,4,6,30,30,3,False
29500,48.223350253807105,394,6,3,30,40,0,False
29500,38.578680203045685,394,2,6,20,20,0,True
29450,60.15228426395939,394,1,5,20,30,7,False
29450,48.223350253807105,394,2,9,30,40,6,False
29350,48.47715736040609,394,2,7,50,40,4,False
29300,58.37563451776649,394,6,1,30,30,10,False
29300,22.588832487309645,394,4,3,10,10,8,True
29300,23.096446700507613,394,6,6,20,10,10,True
29250,72.08121827411168,394,5,3,20,20,4,False
29250,38.578680203045685,394,2,4,40,20,6,True
29200,71.57360406091371,394,6,1,10,20,1,False
29200,59.390862944162436,394,5,3,30,30,4,False
29200,60.15228426395939,394,1,5,20,30,8,False
29200,52.03045685279187,394,6,6,20,30,1,True
29200,59.13705583756346,394,4,6,40,30,4,False
29150,72.33502538071066,394,1,5,50,20,3,False
29150,23.096446700507613,394,6,9,50,10,10,True
29100,59.390862944162436,394,5,3,30,30,6,False
29100,58.37563451776649,394,6,3,30,30,10,False
29100,38.578680203045685,394,2,5,10,20,6,True
29100,48.73096446700508,394,4,5,30,40,4,False
29100,47.96954314720812,394,2,9,20,40,5,False
29050,40.35532994923858,394,4,4,50,50,3,False
29050,48.47715736040609,394,4,5,20,40,8,False
29050,41.62436548223351,394,1,5,20,50,9,False
29050,48.73096446700508,394,4,5,30,40,9,False
29050,72.08121827411168,394,4,6,30,20,7,False
29000,22.588832487309645,394,5,4,50,10,10,True
29000,41.370558375634516,394,0,8,40,50,10,False
28950,22.588832487309645,394,4,3,10,10,10,True
28950,38.83248730964467,394,2,4,10,20,10,True
28950,40.35532994923858,394,4,4,40,50,3,False
28900,71.31979695431471,394,6,1,30,20,2,False
28900,22.588832487309645,394,5,4,40,10,10,True
28900,48.73096446700508,394,4,6,30,40,3,False
28900,39.847715736040605,394,2,6,50,50,2,False
28850,71.57360406091371,394,6,1,10,20,3,False
28850,38.3248730964467,394,5,2,20,20,7,True
28850,21.82741116751269,394,3,9,50,10,2,True
28800,47.96954314720812,394,6,3,30,40,9,False
28800,22.588832487309645,394,2,4,40,10,3,True
28750,22.588832487309645,394,2,2,20,10,2,True
28750,38.3248730964467,394,5,4,40,20,1,True
28750,38.578680203045685,394,2,5,20,20,6,True
28750,22.588832487309645,394,1,10,20,10,5,True
28700,71.06598984771574,394,6,1,50,20,10,False
28700,38.578680203045685,394,2,4,20,20,7,True
28700,48.223350253807105,394,2,9,30,40,7,False
28650,22.588832487309645,394,2,2,30,10,1,True
28650,37.055837563451774,394,3,9,20,20,4,True
28650,37.309644670050766,394,0,9,40,20,6,True
28600,39.59390862944163,394,2,1,40,50,5,False
28600,59.390862944162436,394,5,3,10,30,2,False
28600,38.578680203045685,394,2,4,30,20,5,True
28600,22.588832487309645,394,5,4,50,10,9,True
28600,39.59390862944163,394,2,9,30,50,2,False
28550,58.37563451776649,394,6,3,20,30,4,False
28550,47.96954314720812,394,6,3,30,40,8,False
28550,48.223350253807105,394,2,9,40,40,5,False
28450,59.390862944162436,394,5,3,20,30,4,False
28450,58.37563451776649,394,6,3,30,30,3,False
28450,59.89847715736041,394,1,5,40,30,5,False
28400,47.96954314720812,394,2,1,20,40,3,False
28400,72.08121827411168,394,5,3,20,20,6,False
28400,60.659898477157356,394,3,7,30,30,6,False
28400,47.96954314720812,394,2,9,10,40,4,False
28350,42.13197969543147,394,3,4,30,50,0,False
28350,22.33502538071066,394,5,10,30,10,4,True
28300,50.76142131979695,394,3,4,30,40,5,False
28300,48.47715736040609,394,4,5,20,40,4,False
28300,48.73096446700508,394,4,5,30,40,6,False
28300,37.055837563451774,394,0,6,50,20,3,True
28300,72.08121827411168,394,4,6,50,20,7,False
28300,39.847715736040605,394,2,7,50,50,3,False
28300,22.33502538071066,394,5,10,30,10,2,True
28250,47.96954314720812,394,6,1,20,40,2,False
28250,71.31979695431471,394,6,1,30,20,3,False
28200,48.47715736040609,394,4,6,20,40,4,False
28150,58.121827411167516,394,6,1,30,30,8,False
28150,42.13197969543147,394,3,4,30,50,1,False
28150,38.578680203045685,394,2,4,40,20,8,True
28150,48.47715736040609,394,4,5,20,40,7,False
28150,58.88324873096447,394,4,6,40,30,0,False
28150,47.96954314720812,394,2,9,10,40,8,False
28100,58.37563451776649,394,6,3,30,30,2,False
28100,51.776649746192895,394,6,6,10,30,2,True
28100,47.96954314720812,394,6,8,20,40,1,False
28100,22.33502538071066,394,5,10,20,10,5,True
28050,58.37563451776649,394,6,2,30,30,2,False
28050,72.08121827411168,394,5,3,10,20,0,False
28050,22.081218274111674,394,0,3,30,10,6,True
28050,72.08121827411168,394,4,6,40,20,7,False
28050,59.89847715736041,394,1,6,40,30,2,False
28050,47.96954314720812,394,6,8,20,40,0,False
28050,21.82741116751269,394,3,9,50,10,1,True
28000,58.37563451776649,394,6,3,10,30,5,False
27950,73.3502538071066,394,0,1,20,20,5,False
27950,59.390862944162436,394,5,3,30,30,7,False
27950,58.88324873096447,394,4,5,50,30,9,False
27950,22.33502538071066,394,5,10,50,10,6,True
27900,48.223350253807105,394,2,1,30,40,0,False
27900,47.96954314720812,394,6,1,30,40,2,False
27900,58.88324873096447,394,4,4,50,30,9,False
27900,38.83248730964467,394,6,5,10,20,3,True
27900,37.055837563451774,394,3,5,40,20,9,True
27900,40.35532994923858,394,4,6,30,50,9,False
27900,58.88324873096447,394,4,6,50,30,0,False
27900,59.13705583756346,394,2,9,30,30,1,False
27800,73.3502538071066,394,0,1,20,20,8,False
27800,59.390862944162436,394,5,3,10,30,0,False
27800,58.37563451776649,394,6,3,30,30,0,False
27800,38.3248730964467,394,5,4,40,20,4,True
27750,47.96954314720812,394,6,1,20,40,1,False
27750,72.08121827411168,394,5,3,10,20,6,False
27750,38.3248730964467,394,2,6,10,20,3,True
27750,41.370558375634516,394,0,8,20,50,10,False
27700,38.3248730964467,394,2,4,10,20,4,True
27700,59.89847715736041,394,1,6,40,30,1,False
27650,58.121827411167516,394,6,1,20,30,10,False
27650,58.37563451776649,394,6,3,20,30,1,False
27650,39.08629441624365,394,6,6,20,20,8,True
27650,50.76142131979695,394,3,7,50,40,9,False
27600,50.50761421319797,394,3,4,30,40,2,False
27600,59.89847715736041,394,1,5,50,30,4,False
27600,21.82741116751269,394,3,9,40,10,1,True
27550,47.96954314720812,394,2,2,10,40,10,False
27550,50.50761421319797,394,3,4,30,40,3,False
27550,38.07106598984771,394,5,4,50,20,6,True
27550,60.15228426395939,394,1,6,10,30,3,False
27500,47.96954314720812,394,2,1,40,40,4,False
27500,41.370558375634516,394,0,8,10,50,8,False
27500,47.96954314720812,394,2,9,20,40,3,False
27450,39.340101522842644,394,2,1,30,50,4,False
27450,22.33502538071066,394,2,2,40,10,4,True
27400,22.33502538071066,394,1,2,50,10,1,True
27350,58.121827411167516,394,6,1,30,30,7,False
27350,39.59390862944163,394,2,1,40,50,6,False
27350,38.83248730964467,394,6,5,10,20,1,True
27350,38.83248730964467,394,6,5,10,20,4,True
27300,22.84263959390863,394,6,5,10,10,8,True
27250,58.88324873096447,394,4,2,40,30,4,False
27250,40.35532994923858,394,4,4,40,50,8,False
27250,48.223350253807105,394,2,9,40,40,3,False
27200,47.96954314720812,394,2,1,30,40,3,False
27200,39.59390862944163,394,2,1,50,50,4,False
27200,38.3248730964467,394,2,4,50,20,6,True
27200,59.89847715736041,394,1,5,20,30,6,False
27200,59.89847715736041,394,1,5,50,30,2,False
27200,38.3248730964467,394,2,6,20,20,3,True
27150,47.71573604060914,394,6,3,30,40,7,False
27150,21.82741116751269,394,0,6,50,10,1,True
27150,21.82741116751269,394,3,9,30,10,1,True
27100,58.121827411167516,394,6,3,30,30,9,False
27100,38.07106598984771,394,5,4,50,20,7,True
27100,38.578680203045685,394,2,6,10,20,9,True
27100,21.82741116751269,394,3,9,30,10,6,True
27100,21.82741116751269,394,0,9,40,10,5,True
27100,42.13197969543147,394,3,9,50,50,9,False
27050,47.96954314720812,394,6,1,30,40,0,False
27050,22.33502538071066,394,5,2,30,10,10,True
27050,59.13705583756346,394,5,5,50,30,8,False
27050,58.88324873096447,394,4,6,30,30,6,False
27050,48.47715736040609,394,4,6,30,40,8,False
27000,71.31979695431471,394,6,1,10,20,4,False
27000,87.81725888324873,394,5,3,30,10,6,False
26950,39.340101522842644,394,2,2,10,50,5,False
26950,50.50761421319797,394,3,7,20,40,9,False
26950,22.33502538071066,394,1,7,30,10,0,True
26900,39.08629441624365,394,6,3,20,50,9,False
26900,39.847715736040605,394,4,5,20,50,4,False
26900,22.33502538071066,394,2,6,30,10,9,True
26900,59.13705583756346,394,2,9,40,30,1,False
26850,41.11675126903553,394,0,8,30,50,8,False
26850,21.82741116751269,394,3,9,20,10,9,True
26800,71.31979695431471,394,6,1,10,20,5,False
26800,51.01522842639594,394,5,4,40,30,3,True
26800,40.35532994923858,394,4,4,50,50,9,False
26800,39.340101522842644,394,6,8,10,50,1,False
26800,37.055837563451774,394,0,9,30,20,4,True
26800,40.35532994923858,394,4,10,50,50,8,False
26750,47.96954314720812,394,2,1,20,40,1,False
26750,38.07106598984771,394,5,4,50,20,8,True
26750,40.35532994923858,394,4,4,50,50,8,False
26700,48.47715736040609,394,4,5,30,40,5,False
26700,59.13705583756346,394,2,9,40,30,3,False
26700,39.340101522842644,394,6,10,10,50,1,False
